Time;Temperature;ProcessTemperature;AgentType;AgentFlow;SampleType;CatalystType;CatalystRatio;CarbonMonoxide;CarbonDioxide;Methane;Oxygen;Hydrogen;CalorificValue
1;10;700;Air;0.05;TWTS;AI-Ni ;0;0;0;0;21.2;0;0
2;11;700;Air;0.05;TWTS;AI-Ni ;0;0;1.42;0;21.2;0;0
3;12;700;Air;0.05;TWTS;AI-Ni ;0;0;1.41;0;21.2;0;0
4;16;700;Air;0.05;TWTS;AI-Ni ;0;0;1.41;0;21.2;0;0
5;25;700;Air;0.05;TWTS;AI-Ni ;0;0;1.39;0;21.2;0;0
6;48;700;Air;0.05;TWTS;AI-Ni ;0;0;1.38;0;21.2;0;0
7;70;700;Air;0.05;TWTS;AI-Ni ;0;0;1.38;0;21.2;0;0
8;102;700;Air;0.05;TWTS;AI-Ni ;0;0;1.38;0;21.2;0;0
9;140;700;Air;0.05;TWTS;AI-Ni ;0;0;1.38;0;21.2;0;0
10;185;700;Air;0.05;TWTS;AI-Ni ;0;0;1.4;0;21.2;0;0
11;290;700;Air;0.05;TWTS;AI-Ni ;0;0;1.45;0;21.1;0;0
12;350;700;Air;0.05;TWTS;AI-Ni ;0;0;1.58;0;21.1;0;0
13;402;700;Air;0.05;TWTS;AI-Ni ;0;0;1.86;0;21.1;0;0
14;453;700;Air;0.05;TWTS;AI-Ni ;0;0;2.51;0;20.31;1;30.33
15;513;700;Air;0.05;TWTS;AI-Ni ;0;0;3.81;0;18.85;1;30.33
16;540;700;Air;0.05;TWTS;AI-Ni ;0;0;5.52;0;16.97;1;30.33
17;575;700;Air;0.05;TWTS;AI-Ni ;0;1;8.09;0;14.18;1;60.42
18;617;700;Air;0.05;TWTS;AI-Ni ;0;2;11.84;1;10.58;1;185.57
19;632;700;Air;0.05;TWTS;AI-Ni ;0;3;15.97;2;7.59;1;310.72
20;656;700;Air;0.05;TWTS;AI-Ni ;0;4;19.44;4;6.06;2;561.26
21;680;700;Air;0.05;TWTS;AI-Ni ;0;5;21.4;7;5.03;3;906.86
22;700;700;Air;0.05;TWTS;AI-Ni ;0;5;21.38;10;4.16;5;1252.7
23;700;700;Air;0.05;TWTS;AI-Ni ;0;5;20.24;13;3.44;7;1598.54
24;700;700;Air;0.05;TWTS;AI-Ni ;0;5;19.09;15;2.79;10;1879.65
25;700;700;Air;0.05;TWTS;AI-Ni ;0;5;18.29;17;2.33;12;2130.43
26;700;700;Air;0.05;TWTS;AI-Ni ;0;6;17.78;19;1.99;14;2411.3
27;700;700;Air;0.05;TWTS;AI-Ni ;0;6;17.31;20;1.94;16;2567.02
28;700;700;Air;0.05;TWTS;AI-Ni ;0;6;16.67;20;2.19;16;2567.02
29;700;700;Air;0.05;TWTS;AI-Ni ;0;5;15.98;18;2.61;16;2346.81
30;700;700;Air;0.05;TWTS;AI-Ni ;0;5;15.21;17;3.16;15;2221.42
31;700;700;Air;0.05;TWTS;AI-Ni ;0;4;14.36;15;3.67;14;1970.88
32;700;700;Air;0.05;TWTS;AI-Ni ;0;4;13.54;14;3.97;14;1875.82
33;700;700;Air;0.05;TWTS;AI-Ni ;0;4;12.97;13;4.16;15;1811.09
34;700;700;Air;0.05;TWTS;AI-Ni ;0;4;12.72;12;4.39;17;1776.69
35;700;700;Air;0.05;TWTS;AI-Ni ;0;4;12.4;10;4.84;17;1586.57
36;700;700;Air;0.05;TWTS;AI-Ni ;0;4;11.99;8;5.38;16;1366.12
37;700;700;Air;0.05;TWTS;AI-Ni ;0;3;11.54;6;5.97;14;1085.25
38;700;700;Air;0.05;TWTS;AI-Ni ;0;3;11.1;5;6.49;12;929.53
39;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.86;4;6.66;10;743.72
40;700;700;Air;0.05;TWTS;AI-Ni ;0;3;10.91;3;6.64;10;678.75
41;700;700;Air;0.05;TWTS;AI-Ni ;0;3;11.15;3;6.59;10;678.75
42;700;700;Air;0.05;TWTS;AI-Ni ;0;3;11.15;2;6.73;10;583.69
43;700;700;Air;0.05;TWTS;AI-Ni ;0;3;10.9;2;6.92;9;553.36
44;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.54;2;7.09;7;462.61
45;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.22;2;7.1;7;462.61
46;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.02;2;7.05;7;462.61
47;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.05;2;6.96;7;462.61
48;700;700;Air;0.05;TWTS;AI-Ni ;0;3;10.13;2;6.92;8;523.03
49;700;700;Air;0.05;TWTS;AI-Ni ;0;3;10;2;7.03;7;492.7
50;700;700;Air;0.05;TWTS;AI-Ni ;0;2;9.73;2;7.16;7;462.61
51;700;700;Air;0.05;TWTS;AI-Ni ;0;2;9.38;2;7.23;6;432.28
52;700;700;Air;0.05;TWTS;AI-Ni ;0;2;9.1;2;7.16;6;432.28
1;10;700;Air;0.1;TWTS;AI-Ni ;0;0;0;0;21.2;0;0
2;11;700;Air;0.1;TWTS;AI-Ni ;0;0;0;0;21.2;0;0
3;12;700;Air;0.1;TWTS;AI-Ni ;0;0;1.3;0;21.2;0;0
4;16;700;Air;0.1;TWTS;AI-Ni ;0;0;1.88;0;21.2;0;0
5;25;700;Air;0.1;TWTS;AI-Ni ;0;0;1.8;0;21.2;0;0
6;48;700;Air;0.1;TWTS;AI-Ni ;0;0;1.75;0;21.2;0;0
7;70;700;Air;0.1;TWTS;AI-Ni ;0;0;1.71;0;21.2;0;0
8;102;700;Air;0.1;TWTS;AI-Ni ;0;0;1.68;0;21.2;0;0
9;140;700;Air;0.1;TWTS;AI-Ni ;0;0;1.66;0;21.2;0;0
10;185;700;Air;0.1;TWTS;AI-Ni ;0;0;1.64;0;21.2;0;0
11;290;700;Air;0.1;TWTS;AI-Ni ;0;0;1.62;0;22.1;0;0
12;350;700;Air;0.1;TWTS;AI-Ni ;0;0;1.66;0;21.76;0;0
13;402;700;Air;0.1;TWTS;AI-Ni ;0;0;1.9;0;20.79;1;30.33
14;453;700;Air;0.1;TWTS;AI-Ni ;0;0;2.78;0;18.76;1;30.33
15;513;700;Air;0.1;TWTS;AI-Ni ;0;1;4.82;0;16.25;1;60.42
16;540;700;Air;0.1;TWTS;AI-Ni ;0;2;7.61;1;14.11;1;185.57
17;575;700;Air;0.1;TWTS;AI-Ni ;0;2;10.4;2;12.37;1;280.63
18;617;700;Air;0.1;TWTS;AI-Ni ;0;3;13.19;4;10.8;2;531.17
19;632;700;Air;0.1;TWTS;AI-Ni ;0;4;15.41;6;9.15;4;812.04
20;656;700;Air;0.1;TWTS;AI-Ni ;0;4;16.75;9;7.55;6;1157.88
21;680;700;Air;0.1;TWTS;AI-Ni ;0;5;17.15;12;6.05;8;1533.81
22;700;700;Air;0.1;TWTS;AI-Ni ;0;5;17.17;15;4.81;10;1879.65
23;700;700;Air;0.1;TWTS;AI-Ni ;0;5;17.12;18;3.91;12;2225.49
24;700;700;Air;0.1;TWTS;AI-Ni ;0;5;16.78;18;3.79;14;2286.15
25;700;700;Air;0.1;TWTS;AI-Ni ;0;5;15.8;17;4.68;13;2160.76
26;700;700;Air;0.1;TWTS;AI-Ni ;0;5;14.62;15;5.93;13;1970.64
27;700;700;Air;0.1;TWTS;AI-Ni ;0;4;13.54;14;6.89;13;1845.49
28;700;700;Air;0.1;TWTS;AI-Ni ;0;4;12.88;14;7.06;12;1815.16
29;700;700;Air;0.1;TWTS;AI-Ni ;0;4;12.46;14;7.09;12;1815.16
30;700;700;Air;0.1;TWTS;AI-Ni ;0;4;11.96;14;7.1;12;1815.16
31;700;700;Air;0.1;TWTS;AI-Ni ;0;4;11.14;12;7.05;12;1625.04
32;700;700;Air;0.1;TWTS;AI-Ni ;0;3;10.18;11;6.96;11;1469.56
33;700;700;Air;0.1;TWTS;AI-Ni ;0;2;9.23;9;6.92;11;1249.35
34;700;700;Air;0.1;TWTS;AI-Ni ;0;2;8.53;8;7.03;11;1154.29
35;700;700;Air;0.1;TWTS;AI-Ni ;0;2;8.18;8;7.16;11;1154.29
36;700;700;Air;0.1;TWTS;AI-Ni ;0;2;7.98;7;7.23;10;1028.9
37;700;700;Air;0.1;TWTS;AI-Ni ;0;2;7.66;6;7.16;10;933.84
38;700;700;Air;0.1;TWTS;AI-Ni ;0;2;7.25;5;6.96;10;838.78
39;700;700;Air;0.1;TWTS;AI-Ni ;0;2;6.86;4;6.92;10;743.72
40;700;700;Air;0.1;TWTS;AI-Ni ;0;1;6.6;3;6.88;10;618.57
1;10;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
2;11;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
3;12;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
4;16;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
5;25;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
6;48;700;Air;0.2;TWTS;AI-Ni ;0;0;1.4;0;21.23;0;0
8;70;700;Air;0.2;TWTS;AI-Ni ;0;0;1.92;0;21.23;0;0
9;102;700;Air;0.2;TWTS;AI-Ni ;0;0;1.86;0;21.23;0;0
